Year,ID,Name,Import,Export,ImpIDA,ImpIDB,ImpIDC,ImpIDD,ImpIDE,ImpIDF,ImpIDG,ImpIDH,ImpIDI,ImpIDJ,ImportA,ImportB,ImportC,ImportD,ImportE,ImportF,ImportG,ImportH,ImportI,ImportJ,ExpIDA,ExpIDB,ExpIDC,ExpIDD,ExpIDE,ExpIDF,ExpIDG,ExpIDH,ExpIDI,ExpIDJ,ExportA,ExportB,ExportC,ExportD,ExportE,ExportF,ExportG,ExportH,ExportI,ExportJ
2017,004,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,008,Albania,90437.64,20543.551,688,300,203,499,070,,,,,,70616.918,16352.836,3265.616,195.784,6.486,,,,,,300,688,203,499,,,,,,,15414.283,2679.453,2444.772,5.043,,,,,,
2017,012,Algeria,182.431,17608.213,504,,,,,,,,,,182.431,,,,,,,,,,504,788,,,,,,,,,17538.665,69.548,,,,,,,,
2017,016,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,020,Andorra,33424.282,,724,251,,,,,,,,,17709.652,15714.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,024,Angola,1.029,,516,,,,,,,,,,1.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,028,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,031,Azerbaijan,6915.879,74234.188,051,643,268,,,,,,,,3940.416,2872.124,103.339,,,,,,,,268,792,643,051,,,,,,,47115.279,17688.389,6546.057,2884.463,,,,,,
2017,032,Argentina,478540.011,,600,858,076,152,,,,,,,447751.5,16674.111,12098.456,2015.944,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,036,Australia,0.117,0.964,764,,,,,,,,,,0.117,,,,,,,,,,360,,,,,,,,,,0.964,,,,,,,,,
2017,040,Austria,924184.002,931957.037,276,203,705,757,348,380,442,,,,663334.515,217136.119,12925.405,12218.126,9023.257,5151.21,4395.37,,,,757,348,705,276,380,203,372,,,,284895.653,217777.835,186586.955,149742.861,63719.362,29002.786,231.585,,,
2017,044,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,048,Bahrain,1.718,,100,842,380,,,,,,,,0.867,0.497,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,050,Bangladesh,33647.213,,699,,,,,,,,,,33647.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,051,Armenia,10946.236,71085.449,268,031,364,,,,,,,,5623.978,2884.463,2437.795,,,,,,,,364,268,031,,,,,,,,60736.9,6408.133,3940.416,,,,,,,
2017,052,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,056,Belgium,646563.728,422942.372,528,251,442,,,,,,,,484779.836,160534.32,1249.572,,,,,,,,251,528,442,203,,,,,,,299881.025,86999.954,23627.882,12433.511,,,,,,
